Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,4.501222,4.676070,3.873311,4.036520,4.036520,18482353
2021-03-24,4.042888,5.258976,3.910246,4.251439,4.251439,19733047
2021-03-25,4.262626,4.708744,4.115032,4.259443,4.259443,11712975
2021-03-26,4.255264,5.396266,4.235668,5.373179,5.373179,15419353
2021-03-27,5.354782,5.492291,4.952039,5.026860,5.026860,10416113
2021-03-28,5.023640,5.120078,4.652169,4.845951,4.845951,7090684
2021-03-29,4.849007,5.033198,4.697518,4.976694,4.976694,7134749
2021-03-30,4.976794,4.994282,4.592071,4.656304,4.656304,8695270
2021-03-31,4.655188,4.925436,4.505927,4.832120,4.832120,9933569
2021-04-01,4.830978,4.893254,4.424727,4.446133,4.446133,9983176
2021-04-02,4.443345,4.527312,4.126666,4.147453,4.147453,15288050
2021-04-03,4.133151,4.453343,3.875999,4.007392,4.007392,22875338
2021-04-04,3.997343,4.226557,3.951191,4.055574,4.055574,9121634
2021-04-05,4.042085,4.708791,3.984499,4.217338,4.217338,15623723
2021-04-06,4.230657,4.288325,3.949681,3.995250,3.995250,10560765
2021-04-07,3.998358,4.466087,3.812902,4.234020,4.234020,14732616
2021-04-08,4.145645,4.405518,4.116859,4.138859,4.138859,10708089
2021-04-09,4.138216,4.261698,4.021493,4.092061,4.092061,6472502
2021-04-10,4.105655,4.303743,4.013889,4.104638,4.104638,7275811
2021-04-11,4.104857,5.040100,4.068792,5.024656,5.024656,18398802
2021-04-12,5.013095,5.956596,4.832186,4.874471,4.874471,35037577
2021-04-13,4.860072,5.481717,4.635083,5.239228,5.239228,17096748
2021-04-14,5.196361,5.248097,4.609161,5.001677,5.001677,11790607
2021-04-15,4.994984,5.037691,4.669327,4.884886,4.884886,11188043
2021-04-16,4.885252,4.969611,4.327811,4.449180,4.449180,14319742
2021-04-17,4.448378,4.904732,4.362911,4.601460,4.601460,10370558
2021-04-18,4.598331,4.664936,3.764626,4.140967,4.140967,10461765
2021-04-19,4.125476,4.330857,3.802983,3.886578,3.886578,8425479
2021-04-20,3.890168,3.901249,3.423936,3.560014,3.560014,11456651
2021-04-21,3.564592,3.625504,3.232503,3.291374,3.291374,17793906
2021-04-22,3.304538,3.485307,2.969016,3.189040,3.189040,19637568
2021-04-23,3.172212,3.636733,2.567076,3.636733,3.636733,28072867
2021-04-24,3.651614,3.655874,3.000089,3.003455,3.003455,9380148
2021-04-25,3.001236,3.400289,2.794639,3.175926,3.175926,6584301
2021-04-26,3.204863,3.965123,3.194169,3.962836,3.962836,8182414
2021-04-27,3.948393,4.660851,3.812857,4.639798,4.639798,15030962
2021-04-28,4.632972,4.797947,4.143326,4.333929,4.333929,10830871
2021-04-29,4.325924,4.366606,3.836489,4.217193,4.217193,9014911
2021-04-30,4.206556,4.346711,4.078667,4.204202,4.204202,6246875
2021-05-01,4.214338,4.694628,4.153476,4.676550,4.676550,7287204
2021-05-02,4.656062,4.686300,4.317392,4.489597,4.489597,6282418
2021-05-03,4.489233,4.626649,4.212948,4.380305,4.380305,8172492
2021-05-04,4.410141,4.410141,3.720678,3.977470,3.977470,11096197
2021-05-05,3.976789,4.285987,3.917859,4.068376,4.068376,7752747
2021-05-06,4.090059,4.113389,3.732379,4.014562,4.014562,9195925
2021-05-07,4.015525,4.372831,3.862911,3.947864,3.947864,7738944
2021-05-08,3.948483,4.250205,3.886277,4.148548,4.148548,7918550
2021-05-09,4.148758,4.187288,3.908891,4.089176,4.089176,6702734
2021-05-10,4.097155,4.138060,3.586353,3.873899,3.873899,8683602
2021-05-11,3.875884,4.192526,3.787073,4.017196,4.017196,8214458
2021-05-12,4.011174,4.150552,3.307670,3.307670,3.307670,10085400
2021-05-13,3.306196,3.956718,3.128378,3.534056,3.534056,11818232
2021-05-14,3.555195,3.873256,3.555195,3.665463,3.665463,5025605
2021-05-15,3.669639,3.835802,3.462641,3.500373,3.500373,5496431
2021-05-16,3.494009,3.723062,3.131230,3.514074,3.514074,9840643
2021-05-17,3.510793,3.510793,3.018629,3.214531,3.214531,7249563
2021-05-18,3.228546,3.598046,3.178150,3.340578,3.340578,5242843
2021-05-19,3.329897,3.400143,1.566989,2.737377,2.737377,24780339
2021-05-20,2.724050,3.147387,2.371289,2.814578,2.814578,9713798
2021-05-21,2.820214,3.009086,1.983774,2.405750,2.405750,10318284
2021-05-22,2.411815,2.582172,2.109710,2.443637,2.443637,4829949
2021-05-23,2.447055,2.548128,1.679656,2.135586,2.135586,12055345
2021-05-24,2.125237,2.562231,2.030326,2.560463,2.560463,6033528
2021-05-25,2.562896,2.988153,2.477509,2.555923,2.555923,11514378
2021-05-26,2.548591,2.707686,2.424926,2.602018,2.602018,7370870
2021-05-27,2.610906,2.673898,2.409297,2.545666,2.545666,3388001
2021-05-28,2.541390,2.617489,2.147325,2.231844,2.231844,6121102
2021-05-29,2.234281,2.429474,2.027643,2.207445,2.207445,3296323
2021-05-30,2.210518,2.476812,2.063271,2.331261,2.331261,3064771
2021-05-31,2.336008,2.642678,2.246813,2.529222,2.529222,3961329
2021-06-01,2.531060,2.621756,2.399925,2.466759,2.466759,2419239
2021-06-02,2.479234,3.044620,2.449468,2.938380,2.938380,9009411
2021-06-03,2.959463,3.263738,2.811690,2.960412,2.960412,8650783
2021-06-04,2.965981,2.967643,2.519588,2.677088,2.677088,4250379
2021-06-05,2.679683,2.786279,2.456745,2.551611,2.551611,2569529
2021-06-06,2.548909,2.829059,2.536475,2.757650,2.757650,3056314
2021-06-07,2.762898,2.863510,2.344140,2.373183,2.373183,4864725
2021-06-08,2.372745,2.507630,2.116303,2.442920,2.442920,7285271
2021-06-09,2.443951,2.725478,2.249061,2.697533,2.697533,4440236
2021-06-10,2.699536,2.762310,2.336595,2.391634,2.391634,4602426
2021-06-11,2.386894,2.433321,2.194944,2.278570,2.278570,3439630
2021-06-12,2.290944,2.295224,2.120082,2.212961,2.212961,3611484
2021-06-13,2.207731,2.600200,2.115324,2.538779,2.538779,3312229
2021-06-14,2.540639,2.682983,2.415627,2.631027,2.631027,3367074
2021-06-15,2.527060,2.566988,2.402802,2.545504,2.545504,2464921
2021-06-16,2.516618,2.536739,2.395652,2.466183,2.466183,2149217
2021-06-17,2.464371,2.535809,2.338489,2.419950,2.419950,2145949
2021-06-18,2.420099,2.451011,2.176412,2.264963,2.264963,4353125
2021-06-19,2.266529,2.361026,2.201585,2.218432,2.218432,2120510
2021-06-20,2.210312,2.297209,2.070434,2.262053,2.262053,4049296
2021-06-21,2.255885,2.260947,1.851411,1.866712,1.866712,5528918
2021-06-22,1.876862,2.088315,1.615343,1.919699,1.919699,7790581
2021-06-23,1.917788,2.142790,1.807216,2.025576,2.025576,3673288
2021-06-24,2.056379,2.485661,1.981728,2.367756,2.367756,4036333
2021-06-25,2.371265,2.416050,2.089090,2.106639,2.106639,2549866
2021-06-26,2.105473,2.150469,1.940583,2.139092,2.139092,2255159
2021-06-27,2.148187,2.261691,2.043728,2.258575,2.258575,1270568
2021-06-28,2.261669,2.394603,2.173749,2.368941,2.368941,2284153
2021-06-29,2.367849,2.430843,2.149565,2.382835,2.382835,4081966
2021-06-30,2.380898,2.606395,2.239659,2.517994,2.517994,4232222
2021-07-01,2.517788,2.531688,2.257515,2.394057,2.394057,2692836
2021-07-02,2.398834,2.419039,2.198787,2.352613,2.352613,1989316
2021-07-03,2.353267,2.424817,2.296683,2.377524,2.377524,1376502
2021-07-04,2.377375,2.387275,2.275129,2.285289,2.285289,1766676
2021-07-05,2.285211,2.287840,2.128089,2.189952,2.189952,1939390
2021-07-06,2.183754,2.312399,2.169227,2.225674,2.225674,1392521
2021-07-07,2.222323,2.362553,2.193205,2.273679,2.273679,1421170
2021-07-08,2.267544,2.277708,2.088442,2.119476,2.119476,2101554
2021-07-09,2.122529,2.220018,2.038425,2.192977,2.192977,2007601
